Virus,Continent,Country,State,Status,First Recorded In,Latitude,Longitude
Apple chat fruit agent  (APCF00),Europe,Denmark,,"Present, restricted distribution",Not available,55.670249,10.3333283
Apple chat fruit agent  (APCF00),Europe,Germany,,"Present, restricted distribution",Not available,51.1638175,10.4478313
Apple chat fruit agent  (APCF00),Europe,Ireland,,"Present, restricted distribution",Not available,52.865196,-7.9794599
Apple chat fruit agent  (APCF00),Europe,Netherlands,,"Present, restricted distribution",Not available,52.2434979,5.6343227
Apple chat fruit agent  (APCF00),Europe,Sweden,,"Present, restricted distribution",Not available,59.6749712,14.5208584
Apple chat fruit agent  (APCF00),Europe,United Kingdom,,"Present, restricted distribution",Not available,54.7023545,-3.2765753
Apple chat fruit agent  (APCF00),Europe,United Kingdom,England,"Present, no details",Not available,52.5310214,-1.2649062
Apple chat fruit agent  (APCF00),Europe,United Kingdom,Scotland,"Present, no details",Not available,56.7861112,-4.1140518
Apple fruit crinkle viroid  (AFCVD0),America,United States of America,,"Present, few occurrences",Not available,39.7837304,-100.445882
Apple fruit crinkle viroid  (AFCVD0),America,United States of America,Florida,"Present, no details",Not available,27.7567667,-81.4639835
Apple fruit crinkle viroid  (AFCVD0),America,United States of America,Georgia,"Present, few occurrences",Not available,32.3293809,-83.1137366
Apple fruit crinkle viroid  (AFCVD0),Asia,China,,"Absent, unreliable record",Not available,35.000074,104.999927
Apple fruit crinkle viroid  (AFCVD0),Asia,China,Xinjiang,"Absent, unreliable record",Not available,42.4804953,85.4633464
Apple fruit crinkle viroid  (AFCVD0),Asia,Japan,,"Present, restricted distribution",1976,36.5748441,139.2394179
Apple fruit crinkle viroid  (AFCVD0),Asia,Japan,Honshu,"Present, restricted distribution",1976,37.4899229,139.8356509
Apple fruit crinkle viroid  (AFCVD0),Europe,Netherlands,,"Absent, no pest record",Not available,52.2434979,5.6343227
Ampelovirus nanoavii  (LCHV20),America,Canada,,"Present, restricted distribution",Not available,61.0666922,-107.991707
Ampelovirus nanoavii  (LCHV20),America,Canada,British Columbia,"Present, restricted distribution",Not available,55.001251,-125.002441
Ampelovirus nanoavii  (LCHV20),America,United States of America,,"Present, restricted distribution",Not available,39.7837304,-100.445882
Ampelovirus nanoavii  (LCHV20),America,United States of America,Oregon,"Present, no details",Not available,43.9792797,-120.737257
